name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
"Завтрак с овсянкой, яблоком и корицей, обогащенный бефидо 2,5 %  0,14 кг п/стНатиже",4870003751751,pcs,385,,,,
"Завтрак с овсянкой, бананом и комплексом витаминов  2,5 %  0,14 кг п/ст Натиже",4870003751775,pcs,385,,,,
"Завтрак обогощенный комплексом витаминов, с овсянкой и сем чиа 2,5% 0,14 кг п/ Натиже",4870003752529,pcs,,,,,
"MIOS Йогурт ""Греческий"" 6% 0,14 кг п/ст, шт Натиже",4870003752956,pcs,,,,,
"Йогурт греческий 6% 0,14 кг п/ст Натиже",4870003752512,pcs,345,,,,
"Йогурт турецкий 3,0% 0,36 кг п/ст KOKSHE milk Натиже",4870235430011,pcs,,,,,
Сыр плавленый Казахский 140гр. п/ст,4870003751706,pcs,,,,,
Сыр плавленый Швейцарский 140гр. п/ст Натиже,4870003751690,pcs,,,,,
Сыр плавленый Английский 140гр. п/ст Натиже,4870003751720,pcs,,,,,
Сыр плавленый Итальянский 140гр. п/ст Натиже,4870003751713,pcs,,,,,
"Белые сыры-Сулугуни 45%, 0,35 кгНатиже",4870003750624,pcs,"2,320",,,,
"Белые сыры-полутвердый Диетический 20%, 0,35 кгНатиже",4870003750433,pcs,"2,385",,,,
"Сыр полутвердый ""Моцарелла с грибами"" 0,25 кгНатиже",4870003752598,pcs,,,,,
"Сыр мягкий Моцарелла 0,250кгНатиже",4870003752079,pcs,"1,745",,,,
Сливочное 500 гр Натиже,4870003753007,pcs,,,,,
С сыром 500 гр Натиже,4870003752994,pcs,,,,,
С фисташками 500 гр Натиже,4870003753014,pcs,,,,,
Со сладким кунжутом 500 гр Натиже,4870003753045,pcs,,,,,
С соленым кунжутом 500 гр Натиже,4870003753038,pcs,,,,,
Сливочное 250 гр Натиже,4870246170012,pcs,,,,,
"Бурненское молоко 2,5% 1 л Tetro Fino Натиже",4870004320185,pcs,,,,,
"Бурненское молоко 3,2% 1 л Tetro Fino Натиже",4870004320192,pcs,,,,,
"Живой йогурт со вкусом персик 1,5% 0,9 кг п/п Натиже",4870003752611,pcs,640,,,,
"кефир ""Classic"" 1%, 0,9 кг.Натиже",4870003751492,pcs,495,,,,
Активиа Йогурт 120 г. мюсли,4870206411667 4870206415535,pcs,260,,,,
Активна Йогурт 120 г. отруби-злаки,4870206411698 4870206415542,pcs,275,,,,
Активиа Йогурт 120 г. клубника,4870206411940 4870206415528,pcs,275,,,,
Активиа Йогурт 120 г. чернослив,4870206411650 4870206415559,pcs,275,,,,
Активиа 270гр Персик,4870206414996,pcs,510,,,,
Активиа 270 гр Земляника-Клубника,4870206411612,pcs,510,,,,
Активиа 270 гр Злаки,4870206411582,pcs,510,,,,
Активиа 270 гр Чернослив,4870206411599,pcs,500,,,,
Активиа 270 гр Манго-Маракуйя,4870206415122,pcs,510,,,,
Активиа 670 гр Злаки,4870206411742,pcs,930,,,,
Активиа 670 гр Клубника-Земляника,4870206411735,pcs,930,,,,
Активиа 670 гр Персик,4870206415009,pcs,930,,,,
Активиа 670 гр Чернослив,4870206411711,pcs,930,,,,
Активиа 670 гр Манго,4870206415313,pcs,930,,,,
"Актимель 1*95 гр., Гранатовый",8696368202563,pcs,310,,,,
"Актимель 1*95 гр., Клубничный",8696368202556,pcs,310,,,,
"Актимель 1*95 гр., С земляникой",8696368202594,pcs,290,,,,
Актимель 1*95 гр Киви-клубника,8696368202648,pcs,290,,,,
Актимель 1*95 гр Ягодный микс,8696368202631,pcs,290,,,,
Актимель КИДС клубника банан,8696368202617,pcs,310,,,,
Актимель КИДС малиновое мороженое,8696368202655,pcs,310,,,,
Данонино 100 гр. Клубника,4870206415399,pcs,230,,,,
Данонино 100 гр. Яблоко,4870206415412,pcs,220,,,,
Данонино 100 гр. Банан,4870206415405,pcs,220,,,,
Растишка коктейль 210 гр. Бабл гам,4600605029039,pcs,490,,,,
Растишка коктейль 210 гр. ваниль,4600605026878,pcs,450,,,,
Растишка поре 85гр смуз,4600605026120,pcs,380,,,,
Растишка пюре 85гр груша,4600605026007,pcs,380,,,,
Растишка пюре 85гр яб банан,4600605025994,pcs,380,,,,
"Сырок сгущенка, 40 гр, 20%",4600605028872,pcs,465,,,,
"Сырок клубника, 40 гр, 20%",4600605028834,pcs,465,,,,
"Сырок ваниль, 40 гр, 20%",4600605028858,pcs,465,,,,
"Сырок ирис, 40 гр 20%",4600605029725,pcs,360,,,,
Данон 270 гр Малина,4870206415344,pcs,385,,,,
