Номенклатура,Штрихкоды,Ед.,Основной тип цен
"Сыр рассольный Брынза Президент 0,25 кг. 45 % .",8606002116156,шт,"1,805"
"Молоко Родина 3,2% -1л",2500000000119,шт,450
"Кефир Родина 2,5% -1л",487005730259 4870005730259,шт,500
"Ряженка Зенченко (Родина) 2,5% -1л",48700057421347,шт,520
"Творог ""Родина"" со сливками 300гр 5%",2500302650012,шт,425
Творог Родина со сливками  300гр 5%,4870005730167,шт,465
Кисломол-й продукт  Снежок 1 литр  2%,487005730570 4870005730570,шт,440
"Сметана ""Родина""  200 гр-20%",4870005730174,шт,360
"Сметана ""Родина""  400гр-15%",4870005730143 4870005730143,шт,750
"Сметана ""Родина""  400гр-20%",4870005730112,шт,770
"Сметана ""Родина""  400гр- 30%",4870005730051,шт,820
"Масло Родина  Сливочные 200гр 72,5% жирности",4870005730648,шт,930
"Кефир ""Талинский"" Зенченко 0,9л-1%",4870006421323,шт,440
Масло  Крестьянское фасовка -200 гр,487006420128 4870006420128,шт,"1,180"
"Айран турецкий 1,2%-1л Эмиль",4870132003653,шт,735
"Айран турецкий 1,2%-260мл Эмиль",4870132003592,шт,255
Сметана Эмиль 15% 200гр,4870132001345,шт,425
Сметана Эмиль 15% 400гр,4870132001338,шт,700
Сметана Эмиль 20% 200гр,4870132001758,шт,475
Сметана Эмиль 20% 400гр,4870132001741,шт,790
Сыр Блочки Сливочный Hohland 100гр,4607004890208,шт,635
Сыр Блочки Сливочный Hohland 50гр,4607004890574,шт,330
Сыр плавленый Hohland грибы 150гр,4607004890079,шт,"1,180"
Сыр плавленый Hohland сливочный классич 150гр,4607004892653,шт,"1,280"
Сыр плавленый Hohland Чизбургер 150гр,4607004890086,шт,"1,280"
Сыр плавленый Hohland Сэндвич 150гр,4607004890093,шт,"1,190"
Сыр плавленый Hohland Чизбургер 185гр,4607004893094,шт,"1,045"
Сыр плавленый Hohland Ассорти 150гр,4607004890543,шт,"1,280"
Сыр плавленый Hohland Маасдам150гр,2500303750018 4607004891083,шт,"1,180"
Сыр плавленый Hohland Тройное удовольствие 140гр,4607004892806,шт,"1,240"
Сыр плавленый Hohland сырное 140гр,4607004892936,шт,980
Сыр плавленый Hohland ветчина ассорти140гр,4607004892967,шт,"1,160"
Сыр плавленый Hohland грибы ассорти140гр,4607004892943,шт,"1,165"
Сыр плавленый Hohland Сливочный ассорти140гр,4607004892783,шт,"1,240"
Сыр плавленый Hohland грибы 200гр,4607004890185,шт,"1,775"
Сыр плавленый Hohland Сливочный 200гр,4607004890147,шт,"1,775"
Сыр плавленый Hohland Швейцарский 200гр,4607004892103,шт,"1,655"
Сыр плавленый Hohland Маасдам 200гр,4607004891878,шт,"1,655"
Сыр творожен Hohland сливочный 140гр,4607004891373,шт,"1,255"
Сыр плавленый Hohland Фетакса 200гр,4607004892608,шт,"1,700"
Сыр Hohland Сливочный творожен 220гр,4607004891694,шт,"1,775"
Сыр творожен Hohland с зеленью 140гр,4607004891397,шт,"1,200"
Сыр чечел косичка 90гр Мета,2500303890011 4610043821478,шт,"1,280"
Масло Гормол сливочное 200гр,4870212681481,кг,"1,375"
"АйранТурецкий Гормол 1,5%- 250гр",4870212681924,шт,200
Курт Золото Тюрков 50гр,769503777733,шт,640
Курт Домашний майлы Айжан ИП,2500304260011,кг,"5,500"
"Йогурт питьевой Эмиль лесные ягоды 1,5% 900 гр.",4870250270050,шт,830
"Сметана, 20% п/стакан, 180 гр.",4870250270081,шт,700
"Сметана, 20% п/стакан, 380 гр.",4870250270098,шт,"1,115"
"Айран турецкий 1,4 % 0,25 кг Натеже.",4870235430028,шт,200
"Творог Крестьянский 4 % 0,200 кг Натеже.",2500307640018,шт,
Сыр Чиссбер соломка 50 гр.,4870052009902,шт,375
"Йогурт Клубника 0,45 л 1,5% Село Лесное.",4870210770460,шт,465
